업소명,소재지,위도,경도
피자나라 치킨공주,부산광역시 남구 황령대로74번길 55-1(1일부층 문현동),35.14755452,129.0675645
바사삭 치킨강정,"부산광역시 동구 초량로 39(초량동, 1층)",35.12031755,129.0381798
수정초량범일좌천티바두마리치킨,부산광역시 동구 수정동로 13(1층 수정동),35.12968634,129.0451344
처갓집 치킨카3,부산광역시 영도구 태종로 727(학생생활관 아라관 앞 일대 동삼동),35.07441032,129.0873438
처갓집 치킨카2,부산광역시 영도구 태종로 727(한국해양대학교 학생생활관 아라관 앞 일대 동삼동),35.07441032,129.0873438
처갓집양념치킨 센텀점,부산광역시 해운대구 해운대로76번길 52(통문장영어 1층 일부호 재송동),35.18993734,129.1175189
처갓집 치킨카1,부산광역시 영도구 태종로 727(한국해양대학교 학생생활관 아라관 앞 일대 동삼동),35.07441032,129.0873438
호식이 두마리치킨 해운대중동점,"부산광역시 해운대구 좌동순환로 402(110동 106호 중동, 래미안해운대)",35.16399378,129.1766454
처갓집 양념치킨 푸드카,부산광역시 영도구 태종로 727(한국해양대학교 학생생활관 아라관 앞 일대 동삼동),35.07441032,129.0873438
몽이두마리치킨,부산광역시 기장군 기장읍 차성동로73번길 2,35.24447202,129.2163519
동큐치킨,부산광역시 부산진구 서면문화로53번길 59(부전동),35.15961657,129.0530034
태권치킨,부산광역시 강서구 체육공원로 43(강서체육공원 대저1동),35.21096031,128.9722166
티바두마리치킨 명지점,부산광역시 강서구 명지오션시티9로 58(1층 일부 명지동),35.08818486,128.9029484
피자왕국치킨왕자,부산광역시 사상구 광장로93번길 77(1층 괘법동),35.16586849,128.984961
티바 두마리 치킨,부산광역시 연제구 월드컵대로73번길 49(연산동),35.18101053,129.0811661
송송숯불두마리치킨 동래점,부산광역시 동래구 미남로116번길 109(온천동),35.20447129,129.0753604
굽네치킨,부산광역시 금정구 중앙대로1706번길 15(부곡동),35.23666337,129.0930344
교촌치킨장전1호점,부산광역시 금정구 금강로335번길 48(장전동),35.23793663,129.0837678
교촌치킨서동1호점,부산광역시 금정구 서동로 182(서동),35.21425831,129.1065506
교촌치킨부곡2호점,부산광역시 금정구 부곡로 92(부곡동),35.22401363,129.0914145
교촌치킨(구서1호),부산광역시 금정구 금강로565번길 25(구서동),35.25804215,129.0862446
교촌치킨 부산대점,부산광역시 금정구 금강로 270(1층 장전동),35.23208973,129.0854367
교촌치킨 부곡 1호점,부산광역시 금정구 무학송로 127(부곡동),35.24244474,129.0936394
교촌치킨 구서역점,부산광역시 금정구 금강로 420(1층 구서동),35.24496816,129.088696
교촌치킨,부산광역시 금정구 금강로 678-1(남산동),35.26797522,129.0892569
경아두마리치킨(탕수육참잘하는집),부산광역시 금정구 중앙대로1660번길 14(1층 부곡동),35.23232392,129.0924597
BHC치킨 부산대점,부산광역시 금정구 금강로 230(장전동),35.22866515,129.0843584
굽네치킨 부곡온천장역점,부산광역시 금정구 부곡로 13(1층 부곡동),35.21818494,129.0870526
BHC치킨 금정부곡점,부산광역시 금정구 중앙대로1685번길 26(부곡동),35.23511105,129.090256
BHC치킨 구서점,부산광역시 금정구 금정로219번길 8(1층 구서동),35.24391328,129.0897257
호식이두마리치킨 신평점,"부산광역시 사하구 다대로 109(상가동 106호 신평동, 신평한성임호아파트)",35.09243967,128.9794588
호식이두마리치킨 다대점,부산광역시 사하구 다대로 537(1층 다대동),35.05819384,128.9717698
호식이두마리치킨 괴정점,부산광역시 사하구 회화나무길 67(괴정동),35.10100217,128.9917471
호식이두마리치킨,부산광역시 사하구 하단동 500-70 (에덴길 107),35.11055816,128.9637151
함박치킨,부산광역시 사하구 다대로130번길 29(1층 신평동),35.09138562,128.977154
하바드치킨,부산광역시 사하구 윤공단로 23(다대동),35.05463691,128.9679348
하단 치킨 분식,부산광역시 사하구 낙동대로451번길 12(1층 하단동),35.10453649,128.9693917
굽네치킨(장전점),부산광역시 금정구 금정로 87(1층 장전동),35.23242136,129.0866495
냠냠숯불 두마리치킨 남산점,부산광역시 금정구 중앙대로2001번길 27(1층 남산동),35.26317138,129.0902036
동근이숯불두마리치킨,"부산광역시 금정구 중앙대로1685번길 22(12동 101호 부곡동, 경남한신아파트상가)",35.23516146,129.0906631
동근이 두마리치킨,부산광역시 금정구 반송로 432(1층 금사동),35.21443151,129.1112539
더조은치킨,부산광역시 금정구 금강로 565(구서동),35.25788678,129.0874843
닭꾸버참숯양념치킨,부산광역시 금정구 서부로16번길 29(1층 서동),35.21662619,129.1048804
네네치킨남산점,부산광역시 금정구 중앙대로2007번길 39(남산동),35.26362647,129.0897152
네네치킨구서점,부산광역시 금정구 금강로 520(구서동),35.25374561,129.0879124
네네치킨 장전점,부산광역시 금정구 금강로 327(장전동),35.23723711,129.0863843
네네치킨 부곡점,부산광역시 금정구 중앙대로1766번길 16-1(1층 101호 부곡동),35.24165696,129.0940354
네네치킨,부산광역시 금정구 서동로 93-1(서동),35.21686664,129.0972829
네네치킨,"부산광역시 금정구 부곡로 64(312호 부곡동, 신동아상가)",35.22173619,129.0900768
남다른썬치킨,부산광역시 금정구 금사로 89(금사동),35.22059112,129.1118872
피자나라치킨공주,부산광역시 사하구 다대로 542(다대동),35.0581719,128.9711338
남다른 썬치킨(서동점),부산광역시 금정구 서동로175번길 8(서동),35.21463085,129.1062262
남다른 썬치킨 부산대점,부산광역시 금정구 부산대학로38번길 23(장전동),35.2322533,129.0872955
남다른 썬치킨 남산1호점,부산광역시 금정구 남산로 31(남산동),35.26687013,129.0888574
꾸브라꼬 숯불두마리치킨 장전직영점,부산광역시 금정구 금강로 370-4(1층 102호 장전동),35.24084972,129.0865973
꼬꼬두마리치킨,부산광역시 금정구 서동로 85(서동),35.21706438,129.0963519
김종구식맛치킨. 전기바베큐 옛날통닭 부곡시장점,부산광역시 금정구 부곡로 124(1층 부곡동),35.22698177,129.0921244
김종구식맛치킨 전기바베큐 옛날통닭 장전점,"부산광역시 금정구 금강로 209-1(나무이야기 101, 102호 장전동)",35.22726295,129.0829116
김종구식맛치킨 전기바베큐 옛날통닭 부산남산점,"부산광역시 금정구 금강로709번길 5(지하1층 B105호 남산동, 맥스빌아파트)",35.27060246,129.0887865
기영이 숯불두마리치킨 부산대점,부산광역시 금정구 금강로279번길 70(101호 장전동),35.23490599,129.0839911
굽네치킨구서점,부산광역시 금정구 두실로7번길 119(1층 구서동),35.25507444,129.0904906
피자나라 치킨공주,부산광역시 사하구 낙동남로1373번길 28(1층 하단동),35.107741,128.9620474
처갓집양념치킨 다대몰운대점,"부산광역시 사하구 다대낙조2길 100(101호 다대동, 롯데캐슬몰운대아파트부상가)",35.05538281,128.9648303
"용호삼박(스시,족발,치킨)","부산광역시 사하구 사하로166번길 28(상가1층 괴정동, 삼경아파트)",35.09582415,128.995523
육동신 치킨,부산광역시 사하구 오작로 7(괴정동),35.09747942,128.9948302
자담치킨 다대점,부산광역시 사하구 윤공단로 21-1(다대동),35.0545999,128.9680549
자담치킨 당리점,"부산광역시 사하구 제석로18번길 48(108호 당리동, 청조아파트)",35.10277321,128.9734511
자담치킨 장림점,부산광역시 사하구 장림번영로 76(베스티움2차 108호 장림동),35.08038971,128.9736343
지니치킨,부산광역시 사하구 승학로 84-1(1층 당리동),35.10373728,128.9768629
지코바 양념치킨 당리점,부산광역시 사하구 승학로 96(당리동),35.10318807,128.9778983
지코바숯불양념치킨,부산광역시 사하구 하신번영로350번길 4(하단동),35.11194732,128.9601882
지코바숯불치킨,부산광역시 사하구 괴정로 42(하단동),35.10254135,128.9686441
지코바숯불치킨,"부산광역시 사하구 낙동대로233번길 61(괴정동,괴정로 248)",35.09675843,128.9926169
지코바치킨 장림점,부산광역시 사하구 장평로145번길 23(1층 장림동),35.07947904,128.9714195
짜가후라이드치킨,부산광역시 사하구 낙동대로536번길 5(하단동),35.1122678,128.9652271
찌웅이네 숯불두마리치킨 하단점,부산광역시 사하구 낙동대로535번길 38(1층 하단동),35.11133423,128.9624737
찐불이 찐 숯불 두마리 치킨,부산광역시 사하구 낙동대로519번길 68(1층 하단동),35.11068211,128.961731
참 싸고 맛있는 두마리치킨,부산광역시 사하구 승학로 140(당리동),35.10322395,128.982374
처갓집 양념치킨 당리점,부산광역시 사하구 괴정로 107-1(당리동),35.10222996,128.9759893
처갓집양념치킨,부산광역시 사하구 장평로 123(장림동),35.07719705,128.9727191
처갓집양념치킨,부산광역시 사하구 다대로 397(다대동),35.06761382,128.9795783
처갓집양념치킨 감천점,부산광역시 사하구 감천로 111(감천동),35.08799245,129.0040693
처갓집양념치킨 괴정1호점,부산광역시 사하구 까치고개로 10(괴정동),35.10328513,129.0034892
처갓집양념치킨 괴정샘터점,부산광역시 사하구 낙동대로233번길 59(괴정동),35.09695618,128.9926851
처갓집양념치킨 신평점,부산광역시 사하구 다대로136번길 3(신평동),35.09036411,128.9775147
피자나라치킨공주,부산광역시 사하구 낙동대로356번길 11(1층 당리동),35.10206015,128.9791572
처갓집양념치킨 하단1호점,부산광역시 사하구 낙동대로549번길 57(하단동),35.11253941,128.9605462
처갓집양념치킨 하단가락타운점,부산광역시 사하구 동매로 35(1층 하단동),35.10366544,128.9621969
청년 숯불 두마리 치킨,부산광역시 사하구 낙동대로436번길 23(1층 당리동),35.10553494,128.9719045
충만치킨 동아대점,부산광역시 사하구 낙동대로 553(하단동),35.11301974,128.9636234
치킨신드롬,부산광역시 사하구 다대로 134(1층 신평동),35.09057946,128.9776379
치킨신드롬,부산광역시 사하구 다대로 325(장림동),35.07314554,128.9765963
치킨신드롬 다대1호점,부산광역시 사하구 윤공단로14번길 21(다대동),35.05594427,128.9690245
치킨신드롬 장림롯데시네마점,"부산광역시 사하구 장림번영로 97(1층 114,115호 장림동)",35.08094069,128.9757353
치킨신드롬 하단신평점,부산광역시 사하구 동매로 12(하단동),35.10358667,128.9596293
치킨신드롬(장림본동점),부산광역시 사하구 다대로277번길 3(장림동),35.07768035,128.9776263
치킨신드롬감천점,부산광역시 사하구 감천로 9(감천동),35.09223861,128.9941742
치킨신드롬사하시장점,"부산광역시 사하구 장평로 451-1(괴정동,신평로 10)",35.09844912,128.9864844
킴스치킨,"부산광역시 사하구 마하로 20(괴정동,마하로20)",35.10204927,128.981614
킹불라 숯불치킨,"부산광역시 사하구 윤공단로 23-1(다대동,다대아미6길 3)",35.08854547,128.9805856
타코난 숯불치킨,"부산광역시 사하구 장평로 136(장림동,장림중앙로 129)",35.07814972,128.9730704
투가이즈 치킨앤피자,부산광역시 사하구 괴정로57번길 41(하단동),35.10294232,128.9725976
티바 두마리치킨,부산광역시 사하구 다대로227번길 38(장림동),35.0806503,128.9782101
티바두마리치킨,부산광역시 사하구 제석로 71(당리동),35.10702119,128.9753993
티바두마리치킨 하단점,"부산광역시 사하구 낙동남로1367번길 16(1층 101호 하단동, 선경아트빌)",35.10719659,128.9613609
페리카나치킨,부산광역시 사하구 장림시장4길 63(1층 장림동),35.08084015,128.9669178
동키치킨,부산광역시 금정구 부산대학로63번길 38(장전동),35.23005734,129.0839046
동키치킨,부산광역시 금정구 서동로79번길 2-8(서동),35.2173117,129.0959159
처갓집 양념치킨(남산점),부산광역시 금정구 범어천로52번길 34-1(남산동),35.27084093,129.0913287
네네치킨앤봉구스밥버거 명지국제신도시점,"부산광역시 강서구 명지국제8로 234(1층 115호 명지동, 정우빌딩2차)",35.09790316,128.918389
네네치킨 명지점,"부산광역시 강서구 명지오션시티9로 58(명지동,A동)",35.08818486,128.9029484
남썬치킨 명지 오션시티점,"부산광역시 강서구 명지오션시티5로 10(명지동, 광명빌딩 101호, 102호)",35.08347912,128.9042015
남다른 썬치킨 화전우방점,"부산광역시 강서구 화전산단4로 74(211동 1층 110호 화전동, 우방아이유쉘)",35.11073132,128.8855911
꼬꼬번피자치킨 부산명지점,"부산광역시 강서구 명지국제5로 141(301동 102호 명지동, 명지 협성휴포레)",35.10752754,128.9211187
김종구식맛치킨 전기바베큐옛날통닭 부산명지국제중앙점,"부산광역시 강서구 명지국제8로 234(1층 110, 111호 명지동)",35.09790316,128.918389
김종구 식맛치킨·전기바베큐 옛날통닭 부산신호점,"부산광역시 강서구 신호산단2로 21(1층 109,110호 신호동)",35.08706283,128.8777898
기영이숯불두마리치킨 명지점,부산광역시 강서구 명지국제12로 43-3(1층 일부호 명지동),35.10484298,128.9256296
굽는치킨,부산광역시 강서구 화전산단4로6번길 8(화전동),35.11070112,128.8786031
굽네치킨 부산지사점,부산광역시 강서구 과학산단로334번나길 21(예찬하우스 1층 지사동),35.15053519,128.8339461
굽네치킨 명지국제신도시,"부산광역시 강서구 명지국제8로 234(114호 명지동, 정우빌딩2차)",35.09790316,128.918389
교촌치킨명지신도시점,부산광역시 강서구 명지오션시티8로30번길 26(명지동),35.08588929,128.9097661
교촌치킨 지사점,부산광역시 강서구 과학산단로334번길 8(1층 지사동),35.14946848,128.8330792
교촌치킨 신호점,"부산광역시 강서구 신호산단1로 76(1층 104,105호 신호동)",35.0822588,128.8727268
교촌치킨 명지법원네오점,부산광역시 강서구 명지국제2로28번길 23(Neo Western Square 2동 1층 102호 명지동),35.09342409,128.9099048
교촌치킨 국제신도시점,"부산광역시 강서구 명지국제8로 246(115,114일부호 명지동)",35.0977406,128.9196155
60계치킨 부산신호점,부산광역시 강서구 신호산단2로49번길 11(1층 104호 신호동),35.08473456,128.8781486
60계치킨 명지포스코점,"부산광역시 강서구 명지국제2로 41(판매시설동 109호 명지동, 더샵 명지퍼스트월드 3단지)",35.09479152,128.9066626
60계치킨 명지국제신도시점,부산광역시 강서구 명지국제12로11번길 15-23(일부 1층 명지동),35.10673103,128.9215485
1호선치킨,부산광역시 강서구 동선1길 128(동선동),35.05516103,128.8331929
호식이두마리치킨 서동점,부산광역시 금정구 서부로16번길 14(서동),35.2160615,129.1045322
호식이두마리치킨 부곡점,부산광역시 금정구 부곡로 94-1(부곡동),35.22430064,129.0915721
피자나라치킨공주 부산대점,부산광역시 금정구 금강로 292(1층 장전동),35.23396895,129.0859561
피자나라치킨공주,부산광역시 금정구 부곡로126번길 32(부곡동),35.22690428,129.0937162
피자나라치킨공주,부산광역시 금정구 서명로 17-1(서동),35.21366594,129.1013365
페리카나치킨,부산광역시 금정구 금사로 11-1(서동),35.2154496,129.1063911
파리에 다녀온 치킨 부산대점,부산광역시 금정구 금정로91번길 6(장전동),35.2330256,129.0866137
코리엔탈 깻잎두마리치킨(금정점),부산광역시 금정구 구서중앙로40번길 51(1층 구서동),35.25690161,129.0867788
"치킨신드롬(청룡,남산점)",부산광역시 금정구 청룡로 21(1층 청룡동),35.27541174,129.0902359
치킨신드롬 부산대점,부산광역시 금정구 장전로 22-1(장전동),35.22827669,129.0864624
치킨신드롬 두실점,부산광역시 금정구 두실로 15(구서동),35.26044579,129.0895846
치킨신드롬,부산광역시 금정구 부곡로 43(부곡동),35.22062503,129.0883484
치킨신드롬,부산광역시 금정구 서금로 2-3(1층 서동),35.21698923,129.1026336
치킨신드롬,"부산광역시 금정구 금강로 346(지하1층 장전동, 덕화연립)",35.23871262,129.0866896
치킨스프,"부산광역시 금정구 중앙대로2007번길 7-3(101호 남산동, 일신에이스빌라)",35.26340251,129.0915585
치킨&마늘통닭,부산광역시 금정구 금강로 256-10(장전동),35.23076397,129.0855179
치몬치킨 구서점,부산광역시 금정구 금강로 545(1층 구서동),35.25607414,129.087581
충만치킨 부산대점,부산광역시 금정구 금정로60번길 6(장전동),35.22980727,129.0866586
청년치킨,부산광역시 금정구 수림로85번길 43(장전동),35.23792441,129.0831194
처갓집양념치킨금정산SK점,부산광역시 금정구 식물원로 82(금정산에스케이뷰아파트 상가 302동 2층 201호 장전동),35.22605876,129.0794793
처갓집양념치킨 장전점,부산광역시 금정구 금정로149번길 8(장전동),35.23811235,129.0872859
처갓집양념치킨 서동점,부산광역시 금정구 서동로 185(서동),35.21447311,129.1067183
처갓집양념치킨 부곡점,부산광역시 금정구 동현로 23(부곡동),35.22332193,129.0911526
처갓집양념치킨 남산외대점,부산광역시 금정구 남산로 28(산정빌딩 1층 남산동),35.26707287,129.0893657
처갓집 양념치킨 구서점,"부산광역시 금정구 금샘로 262(216동 104호 구서동, 쌍용예가2단지)",35.24569674,129.08586
용치킨&강정,부산광역시 사하구 제석로 16(1층 하단동),35.10358479,128.9711683
참대나무 숯불바베큐치킨&비어,부산광역시 금정구 구서중앙로 19-1(구서동),35.25466352,129.0890785
찌웅이네 숯불두마리치킨,"부산광역시 금정구 금강로 465(상가동 103호 구서동, 일화아트빌라)",35.24886925,129.0879021
지코바치킨 팔송점,부산광역시 금정구 범어천로38번길 10(남산동),35.26948815,129.0904092
지코바치킨,부산광역시 금정구 금강로 516(2층 구서동),35.25352039,129.0878984
지코바양념치킨 금사점,부산광역시 금정구 금사로 88(1층 금사동),35.22031943,129.1120263
조이치킨백화점,부산광역시 금정구 서부로 26(서동),35.21625349,129.1032497
정성숯불두마리치킨 구서점,"부산광역시 금정구 금강로 425(1층 8호 구서동, 대흥상가아파트)",35.24543067,129.0883836
자이언트 치킨 호프,부산광역시 금정구 금강로423번길 10-1(1층 구서동),35.24556685,129.0882755
자담치킨&호프,부산광역시 금정구 중앙대로1893번길 16(구서동),35.25348068,129.0903044
자담치킨 부곡점,"부산광역시 금정구 부곡온천천로 190(1층 110호 부곡동, 퀸즈더블유장전역)",35.24232823,129.0905724
이춘봉치킨(부산대점),부산광역시 금정구 부산대학로63번길 21(2층 장전동),35.23063239,129.08411
오동통치킨,부산광역시 금정구 중앙대로 2117(청룡동),35.27340019,129.0923962
에이스치킨,부산광역시 금정구 금사로67번길 41(1층 서동),35.21997005,129.1088471
썬더치킨(온천점),부산광역시 금정구 온천장로125번길 26(장전동),35.22291739,129.0840182
썬더치킨,부산광역시 금정구 동부곡로 4(부곡동),35.22554805,129.0921821
쌍둥이숯불두마리치킨(금정점),부산광역시 금정구 금강로 374-1(장전동),35.24139068,129.0865826
숯불치킨,부산광역시 금정구 동부곡로10번길 28(부곡동),35.2245727,129.0923887
세븐치킨&딱!좋아비어,부산광역시 금정구 범어천로38번길 22(남산동),35.269482,129.0910906
서동점 굽네치킨,부산광역시 금정구 서곡로 34(서동),35.21759657,129.1042345
비에이치씨(B.H.C)치킨 명륜점,부산광역시 금정구 오시게로12번길 23(1층 부곡동),35.21864281,129.0872565
비비큐치킨구서점,부산광역시 금정구 구서중앙로 25(구서동),35.25460677,129.0883745
비비큐치킨,부산광역시 금정구 금강로 735-1(청룡동),35.27326129,129.0888112
비비큐(BBQ)치킨,"부산광역시 금정구 금강로 225(장전동, 벽산블루밍장전디자인시티2단지 근린생활시설동204호)",35.23027353,129.0819081
블레드치킨 남산점,부산광역시 금정구 중앙대로 2057-1(남산동),35.26807213,129.0925004
불숯불숯두마리치킨,부산광역시 금정구 동부곡로6번길 54(부곡동),35.22337333,129.0914499
불로피아 숯불바베큐치킨,부산광역시 금정구 동부곡로15번길 57(1층 부곡동),35.22823886,129.0936572
부어치킨 부산대학점,부산광역시 금정구 금강로 268(1층 장전동),35.23186471,129.0854007
부산 부곡점 굽네치킨,부산광역시 금정구 중앙대로1706번길 3(부곡동),35.2367851,129.0925306
부리나치킨,부산광역시 금정구 남산로 15(남산동),35.26677376,129.0905487
부대치킨,부산광역시 금정구 장전로 33-7(장전동),35.22830596,129.0852104
보드람치킨 부곡온천점,부산광역시 금정구 부곡로 32-8(1층 부곡동),35.21934582,129.0882654
별뚱별닭강정&치킨,"부산광역시 금정구 금샘로 511(상가 101호 남산동, 학산코스모빌라)",35.26823098,129.084875
밀그린치킨,부산광역시 금정구 무학송로 106(1층 부곡동),35.24055178,129.0936469
문진옥 숯불바베큐치킨,부산광역시 금정구 회천로 6-2(회동동),35.22659284,129.1169344
몽이두마리치킨,부산광역시 금정구 금강로 369(장전동),35.2410876,129.086205
모락로제떡볶이&깻잎두마리치킨,"부산광역시 금정구 기찰로 10(102호 부곡동, 샘빌라트)",35.2316532,129.0928682
멕시카나치킨,부산광역시 금정구 부산대학로38번길 35(장전동),35.23283814,129.0874131
맛있는치킨,부산광역시 금정구 금사로 41(서동),35.21725814,129.1087113
람스치킨,부산광역시 금정구 서부곡로 10(부곡동),35.22617312,129.0908393
땅땅치킨 구서점,"부산광역시 금정구 금샘로246번길 18(117동 1층 111호 구서동, 구서에스케이뷰1단지)",35.2438425,129.0855715
디디씨(DDC)치킨 (구서점),부산광역시 금정구 금강로565번길 8(구서동),35.25810536,129.0872345
두실더조은치킨 2호점,부산광역시 금정구 동부곡로12번길 8(1층 부곡동),35.22526904,129.093134
동키치킨,부산광역시 금정구 팔송로 20(남산동),35.27221938,129.0904019
동키치킨,부산광역시 금정구 중앙대로1945번길 10(구서동),35.25806436,129.0907835
오후엔치킨,부산광역시 사하구 다대낙조2길 85(111호 다대동),35.05295716,128.9615351
핫썬 치킨 재송1호점,부산광역시 해운대구 해운대로76번길 83(재송동),35.1908576,129.1193762
랑이네 치킨,"부산광역시 해운대구 해운대해변로 257(305호 우동, 하버타운)",35.1596883,129.1595157
림스치킨,"부산광역시 해운대구 해운대로 620(우동, 라뮤에뜨 상가107호)",35.16296148,129.1584536
마당통치킨,"부산광역시 해운대구 윗반송로51번길 84-33(반송동, 1층)",35.23080485,129.1569137
맥시칸 치킨,부산광역시 해운대구 선수촌로165번길 15(1층 A-1호 반여동),35.20791216,129.1222463
가홍치킨(광복점),부산광역시 중구 중앙대로 2(롯데백화점광복점 지하 1층 중앙동7가),35.09830894,129.0367048
맥시칸 치킨 우동점,부산광역시 해운대구 해운대로 427(1층 일부호 우동),35.16594122,129.1417892
